"brand","sales_year","countryfull","avg_discount_per_unit","avg_discount_percent","total_discount_amount","total_actual_revenue","total_base_revenue"
"Adventure Works","2015","United States","52.08","6.43",49256.05195500073,710689.6920450001,759945.7440000009
"Contoso","2015","United States","11.57","6.03",27405.653069999185,535237.4554300008,562643.1085
"Wide World Importers","2015","United States","32.62","6.21",34490.460274999554,473127.39972500026,507617.8599999998
"Fabrikam","2015","United States","45.34","5.56",31197.47287499992,429705.0471249997,460902.5199999996
"Fabrikam  ","2015","United States","74.56","6.40",19701.136,311028.46400000004,330729.60000000003
"Contoso ","2015","United States","34.78","6.13",18469.83532500005,280339.64467499993,298809.48
"The Phone Company","2015","United States","32.44","6.23",17241.318,250427.682,267669
"Adventure Works","2015","Canada","47.91","5.88",13109.66173073047,203622.80904324938,216732.47077397985
"A. Datum","2015","United States","24.25","5.53",12588.78880000001,198990.2512,211579.04
"Adventure Works","2015","United Kingdom","41.06","5.82",11977.334010091901,148692.87771621806,160670.21172630996
"Adventure Works","2015","Germany","58.92","7.20",9249.014823066362,138098.5932719536,147347.60809501997
"Fabrikam","2015","Canada","50.47","6.91",8439.151672591222,131209.0379654838,139648.189638075
"Southridge Video","2015","United States","4.78","6.25",7797.208779999841,128949.03222000005,136746.2409999999
"Adventure Works","2015","Australia","49.53","6.58",8368.425687699622,127084.1096679404,135452.53535564002
"Wide World Importers","2015","Canada","25.32","6.16",4203.228578336275,125923.7589532137,130126.98753154998
"Proseware","2015","United States","37.02","6.15",8319.449924999979,115794.960075,124114.40999999997
"Litware","2015","United States","20.97","6.35",7497.45092499991,104359.15907500002,111856.60999999993
"Fabrikam  ","2015","Canada","77.79","5.95",5034.054267200016,95941.91579679998,100975.970064
"Contoso","2015","United Kingdom","9.79","5.96",5337.910890224026,95940.37915201104,101278.29004223506
"Wide World Importers","2015","United Kingdom","32.05","6.40",7669.172299641839,95110.24048018322,102779.41277982506
"The Phone Company","2015","Canada","39.75","6.88",7860.351936240026,88421.62788575998,96281.97982200001
"Contoso","2015","Canada","8.01","5.85",5320.8159887290385,84619.14293305088,89939.95892177992
"Fabrikam","2015","Australia","19.99","5.62",3148.4187613492395,81313.75609860074,84462.17485994998
"Contoso","2015","Australia","27.26","5.59",7165.782627867113,80225.96051497788,87391.74314284499
"Fabrikam  ","2015","Australia","44.96","3.46",2907.174364800012,79176.83977919999,82084.014144
"Fabrikam","2015","United Kingdom","57.00","7.20",6968.395291685461,77598.94019368952,84567.33548537498
"Fabrikam  ","2015","United Kingdom","109.98","7.10",5413.731152639986,75180.88345536,80594.61460799999
"Contoso ","2015","Canada","36.63","6.31",4850.894690333967,75092.61001206604,79943.50470240001
"Contoso","2015","Germany","9.63","5.48",3092.972633296522,71784.64321313343,74877.61584642995
"Wide World Importers","2015","Germany","47.12","6.17",6669.204309071021,71650.136425929,78319.34073500002
"Adventure Works","2015","Italy","57.41","7.22",3117.6687658848095,58180.27333545519,61297.94210134
"Contoso ","2015","United Kingdom","29.94","5.69",3224.636785537514,56031.35460881249,59255.99139435001
"Proseware","2015","Canada","27.45","4.81",1528.9138770920108,53646.397250908,55175.31112800001
"Fabrikam  ","2015","Germany","71.80","4.46",4296.261542399996,53599.6446336,57895.906176
"Litware","2015","Australia","46.30","8.06",3594.462450289502,52842.046168585504,56436.50861887501
"Wide World Importers","2015","Australia","19.11","5.60",1925.466607799739,50383.93379187525,52309.40039967499
"A. Datum","2015","Germany","19.33","4.85",2373.1539555680065,50024.835076432,52397.989032000005
"The Phone Company","2015","United Kingdom","33.07","6.50",3422.9990923199875,49748.71864968,53171.717741999986
"Northwind Traders","2015","United States","7.26","5.52",2904.648975000011,49746.633525000005,52651.282500000016
"Fabrikam","2015","Germany","42.05","7.46",3690.5962525764917,49081.78581742349,52772.382069999985
"Fabrikam","2015","France","72.27","7.20",5286.060548635505,49045.452758739506,54331.51330737501
"Wide World Importers","2015","Netherlands","45.78","7.22",4573.528815257014,48885.967972218,53459.496787475015
"Adventure Works","2015","France","65.23","7.04",2925.352690988002,47554.775321452,50480.12801244
"Fabrikam","2015","Italy","44.58","5.05",2599.0812736259977,46522.941804724,49122.02307835
"Proseware","2015","United Kingdom","51.41","6.45",4640.939157948742,44880.18616765125,49521.12532559999
"Contoso","2015","Italy","8.35","5.51",2355.2796031721446,44023.31361934284,46378.59322251499
"Contoso","2015","France","23.73","6.33",4439.909620317732,43255.967044117264,47695.876664434996
"A. Datum","2015","United Kingdom","20.65","4.77",1967.5094107200057,42879.721266080014,44847.23067680002
"Contoso","2015","Netherlands","13.11","4.97",1899.2205670015974,41972.46989291841,43871.690459920006
